Gender,Race/Ethnicity,Parental level of education,Lunch,Test preparation course,Math score,Reading score,Writing score
Female,group B,bachelor's degree,standard,None,72,72,74
Female,group C,some college,standard,Completed,69,90,88
Female,group B,master's degree,standard,None,90,95,93
Male,group A,associate's degree,free/reduced,None,47,57,44
Male,group C,some college,standard,None,76,78,75
Female,group B,associate's degree,standard,None,71,83,78
Female,group B,some college,standard,Completed,88,95,92
Male,group B,some college,free/reduced,None,40,43,39
Male,group D,high school,free/reduced,Completed,64,64,67
Female,group B,high school,free/reduced,None,38,60,50
Male,group C,associate's degree,standard,None,58,54,52
Male,group D,associate's degree,standard,None,40,52,43
Female,group B,high school,standard,None,65,81,73
Male,group A,some college,standard,Completed,78,72,70
Female,group A,master's degree,standard,None,50,53,58
Female,group C,some high school,standard,None,69,75,78
Male,group C,high school,standard,None,88,89,86
Female,group B,some high school,free/reduced,None,18,32,28
Male,group C,master's degree,free/reduced,Completed,46,42,46
Female,group C,associate's degree,free/reduced,None,54,58,61
Male,group D,high school,standard,None,66,69,63
Female,group B,some college,free/reduced,Completed,65,75,70
Male,group D,some college,standard,None,44,54,53
Female,group C,some high school,standard,None,69,73,73
Male,group D,bachelor's degree,free/reduced,Completed,74,71,80
Male,group A,master's degree,free/reduced,None,73,74,72
Male,group B,some college,standard,None,69,54,55
Female,group C,bachelor's degree,standard,None,67,69,75
Male,group C,high school,standard,None,70,70,65
Female,group D,master's degree,standard,None,62,70,75
Female,group D,some college,standard,None,69,74,74
Female,group B,some college,standard,None,63,65,61
Female,group E,master's degree,free/reduced,None,56,72,65
Male,group D,some college,standard,None,40,42,38
Male,group E,some college,standard,None,97,87,82
Male,group E,associate's degree,standard,Completed,81,81,79
Female,group D,associate's degree,standard,None,74,81,83
Female,group D,some high school,free/reduced,None,50,64,59
Female,group D,associate's degree,free/reduced,Completed,75,90,88
Male,group B,associate's degree,free/reduced,None,57,56,57
Male,group C,associate's degree,free/reduced,None,55,61,54
Female,group C,associate's degree,standard,None,58,73,68
Female,group B,associate's degree,standard,None,53,58,65
Male,group B,some college,free/reduced,Completed,59,65,66
Female,group E,associate's degree,free/reduced,None,50,56,54
Male,group B,associate's degree,standard,None,65,54,57
Female,group A,associate's degree,standard,Completed,55,65,62
Female,group C,high school,standard,None,66,71,76
Female,group D,associate's degree,free/reduced,Completed,57,74,76
Male,group C,high school,standard,Completed,82,84,82
Male,group E,some college,standard,None,53,55,48
Male,group E,associate's degree,free/reduced,Completed,77,69,68
Male,group C,some college,standard,None,53,44,42
Male,group D,high school,standard,None,88,78,75
Female,group C,some high school,free/reduced,Completed,71,84,87
Female,group C,high school,free/reduced,None,33,41,43
Female,group E,associate's degree,standard,Completed,82,85,86
Male,group D,associate's degree,standard,None,52,55,49
Male,group D,some college,standard,Completed,58,59,58
Female,group C,some high school,free/reduced,None,0,17,10
Male,group E,bachelor's degree,free/reduced,Completed,79,74,72
Male,group A,some high school,free/reduced,None,39,39,34
Male,group A,associate's degree,free/reduced,None,62,61,55
Female,group C,associate's degree,standard,None,69,80,71
Female,group D,some high school,standard,None,59,58,59
Male,group B,some high school,standard,None,67,64,61
Male,group D,some high school,free/reduced,None,45,37,37
Female,group C,some college,standard,None,60,72,74
Male,group B,associate's degree,free/reduced,None,61,58,56
Female,group C,associate's degree,standard,None,39,64,57
Female,group D,some college,free/reduced,Completed,58,63,73
Male,group D,some college,standard,Completed,63,55,63
Female,group A,associate's degree,free/reduced,None,41,51,48
Male,group C,some high school,free/reduced,None,61,57,56
Male,group C,some high school,standard,None,49,49,41
Male,group B,associate's degree,free/reduced,None,44,41,38
Male,group E,some high school,standard,None,30,26,22
Male,group A,bachelor's degree,standard,Completed,80,78,81
Female,group D,some high school,standard,Completed,61,74,72
Female,group E,master's degree,standard,None,62,68,68
Female,group B,associate's degree,standard,None,47,49,50
Male,group B,high school,free/reduced,None,49,45,45
Male,group A,some college,free/reduced,Completed,50,47,54
Male,group E,associate's degree,standard,None,72,64,63
Male,group D,high school,free/reduced,None,42,39,34
Female,group C,some college,standard,None,73,80,82
Female,group C,some college,free/reduced,None,76,83,88
Female,group D,associate's degree,standard,None,71,71,74
Female,group A,some college,standard,None,58,70,67
Female,group D,some high school,standard,None,73,86,82
Female,group C,bachelor's degree,standard,None,65,72,74
Male,group C,high school,free/reduced,None,27,34,36
Male,group C,high school,standard,None,71,79,71
Male,group C,associate's degree,free/reduced,Completed,43,45,50
Female,group B,some college,standard,None,79,86,92
Male,group C,associate's degree,free/reduced,Completed,78,81,82
Male,group B,some high school,standard,Completed,65,66,62
Female,group E,some college,standard,Completed,63,72,70
Female,group D,some college,free/reduced,None,58,67,62
Female,group D,bachelor's degree,standard,None,65,67,62
Male,group B,some college,standard,None,79,67,67
Male,group D,bachelor's degree,standard,Completed,68,74,74
Female,group D,associate's degree,standard,None,85,91,89
Male,group B,high school,standard,Completed,60,44,47
Male,group C,some college,standard,Completed,98,86,90
Female,group C,some college,standard,None,58,67,72
Female,group D,master's degree,standard,None,87,100,100
Male,group E,associate's degree,standard,Completed,66,63,64
Female,group B,associate's degree,free/reduced,None,52,76,70
Female,group B,some high school,standard,None,70,64,72
Female,group D,associate's degree,free/reduced,Completed,77,89,98
Male,group C,high school,standard,None,62,55,49
Male,group A,associate's degree,standard,None,54,53,47
Female,group D,some college,standard,None,51,58,54
Female,group E,bachelor's degree,standard,Completed,99,100,100
Male,group C,high school,standard,None,84,77,74
Female,group B,bachelor's degree,free/reduced,None,75,85,82
Female,group D,bachelor's degree,standard,None,78,82,79
Female,group D,some high school,standard,None,51,63,61
Female,group C,some college,standard,None,55,69,65
Female,group C,bachelor's degree,standard,Completed,79,92,89
Male,group B,associate's degree,standard,Completed,91,89,92
Female,group C,some college,standard,Completed,88,93,93
Male,group D,high school,free/reduced,None,63,57,56
Male,group E,some college,standard,None,83,80,73
Female,group B,high school,standard,None,87,95,86
Male,group B,some high school,standard,None,72,68,67
Male,group D,some college,standard,Completed,65,77,74
Male,group D,master's degree,standard,None,82,82,74
Female,group A,bachelor's degree,standard,None,51,49,51
Male,group D,master's degree,standard,None,89,84,82
Male,group C,some high school,free/reduced,Completed,53,37,40
Male,group E,some college,free/reduced,Completed,87,74,70
Female,group C,some college,standard,Completed,75,81,84
Male,group D,bachelor's degree,free/reduced,Completed,74,79,75
Male,group C,bachelor's degree,standard,None,58,55,48
Male,group B,some high school,standard,Completed,51,54,41
Male,group E,high school,standard,None,70,55,56
Female,group C,associate's degree,standard,None,59,66,67
Male,group D,some college,standard,Completed,71,61,69
Female,group D,some high school,standard,None,76,72,71
Female,group C,some college,free/reduced,None,59,62,64
Female,group E,some college,free/reduced,Completed,42,55,54
Male,group A,high school,standard,None,57,43,47
Male,group D,some college,standard,None,88,73,78
Female,group C,some college,free/reduced,None,22,39,33
Male,group B,some high school,standard,None,88,84,75
Male,group C,associate's degree,free/reduced,None,73,68,66
Female,group D,bachelor's degree,standard,Completed,68,75,81
Male,group E,associate's degree,free/reduced,Completed,100,100,93
Male,group A,some high school,standard,Completed,62,67,69
Male,group A,bachelor's degree,standard,None,77,67,68
Female,group B,associate's degree,standard,Completed,59,70,66
Male,group D,bachelor's degree,standard,None,54,49,47
Male,group D,some high school,standard,None,62,67,61
Female,group C,some college,standard,Completed,70,89,88
Female,group E,high school,free/reduced,Completed,66,74,78
Male,group B,some college,free/reduced,None,60,60,60
Female,group B,associate's degree,standard,Completed,61,86,87
Male,group D,associate's degree,free/reduced,None,66,62,64
Male,group B,associate's degree,free/reduced,Completed,82,78,74
Female,group E,some college,free/reduced,Completed,75,88,85
Male,group B,master's degree,free/reduced,None,49,53,52
